T,seed,estimator,measure,numpy_val,jidt_val
200,0,gaussian,entropy,1.5314307907773703,1.5314307857773701
200,0,kozachenko,entropy,1.5962887443473042,1.59628930186489
200,0,kernel,entropy,2.185824148725955,2.185824148725955
200,0,gaussian,MI,0.014353687258761351,0.014353687258761353
200,0,kraskov,MI,-0.05275263457827695,-0.04933121331875956
200,0,kernel,MI,0.08046115316018337,0.08046115316018382
200,0,gaussian,TE,0.06067963463046616,0.06067963463046633
200,0,kraskov,TE,0.03421714407316001,0.02306077830772968
200,0,kernel,TE,0.2883333697199863,0.28959651498914113
200,0,symbolic,TE,0.029443897903667082,0.029443897903667193
200,1,gaussian,entropy,1.3253094482797068,1.3253094432797068
200,1,kozachenko,entropy,1.3138863887721035,1.3138841136474966
200,1,kernel,entropy,1.8946681988940965,1.8946681988940954
200,1,gaussian,MI,0.01414198748084849,0.01414198748084858
200,1,kraskov,MI,0.012134965359603456,0.01195505793058782
200,1,kernel,MI,0.11825899820679428,0.11825899820679477
200,1,gaussian,TE,0.09629373185198903,0.09629373185198882
200,1,kraskov,TE,0.08810788743053966,0.08719285727716897
200,1,kernel,TE,0.30822439206073554,0.30678850644369965
200,1,symbolic,TE,0.036289107340734095,0.036289107340733755
200,2,gaussian,entropy,1.6488356767892927,1.6488356717892927
200,2,kozachenko,entropy,1.7177850609187262,1.717786562380014
200,2,kernel,entropy,2.3680274660705796,2.368027466070578
200,2,gaussian,MI,0.019369876381177906,0.01936987638117776
200,2,kraskov,MI,-0.03519579302600917,-0.03615800131803493
200,2,kernel,MI,0.07560459069546978,0.07560459069547006
200,2,gaussian,TE,0.0942860461657925,0.09428604616579278
200,2,kraskov,TE,0.15584812300453432,0.1605819428275359
200,2,kernel,TE,0.3539544819008175,0.3536548441833445
200,2,symbolic,TE,0.03125834714914166,0.031258347149141864
200,3,gaussian,entropy,1.5322741619650668,1.532274156965067
200,3,kozachenko,entropy,1.7750669761374915,1.7750673974515045
200,3,kernel,entropy,2.1861838089099734,2.1861838089099748
200,3,gaussian,MI,0.012291756469354402,0.012291756469354277
200,3,kraskov,MI,0.03315497905965703,0.012410601192244464
200,3,kernel,MI,0.09238463023981923,0.0923846302398195
200,3,gaussian,TE,0.11340414221656447,0.11340414221656393
200,3,kraskov,TE,0.14134454486454762,0.11488079069239698
200,3,kernel,TE,0.3261994783270186,0.32619947832701873
200,3,symbolic,TE,0.051842750687085326,0.05184275068708569
200,4,gaussian,entropy,1.596030661524063,1.5960306565240632
200,4,kozachenko,entropy,1.6012838885781733,1.6012899265255722
200,4,kernel,entropy,2.3001369661345983,2.3001369661345983
200,4,gaussian,MI,0.06236006874480264,0.06236006874480276
200,4,kraskov,MI,0.013500241279484904,-0.013382168507333425
200,4,kernel,MI,0.1871738731666072,0.18717387316660763
200,4,gaussian,TE,0.06748203279927872,0.06748203279927897
200,4,kraskov,TE,0.11450770282645273,0.1065926008590099
200,4,kernel,TE,0.3394743794914493,0.3389968910872863
200,4,symbolic,TE,0.019699367250832323,0.019699367250832482
200,5,gaussian,entropy,1.592444894953957,1.5924448899539572
200,5,kozachenko,entropy,1.7016203479042247,1.7016216587527433
200,5,kernel,entropy,2.2834170446312916,2.283417044631292
200,5,gaussian,MI,0.03559065271387429,0.03559065271387442
200,5,kraskov,MI,0.06664648213563407,0.06751149383392807
200,5,kernel,MI,0.13772312582379048,0.137723125823791
200,5,gaussian,TE,0.13604022071549404,0.13604022071549443
200,5,kraskov,TE,0.1407572938990549,0.14330998394876082
200,5,kernel,TE,0.330134948790216,0.32824272120710046
200,5,symbolic,TE,0.05284261263790557,0.052842612637905684
200,6,gaussian,entropy,1.5852994900677646,1.5852994850677646
200,6,kozachenko,entropy,1.5139169948130426,1.5139194017878266
200,6,kernel,entropy,2.270173185911064,2.270173185911064
200,6,gaussian,MI,0.02561501500478601,0.025615015004786214
200,6,kraskov,MI,0.06738146902522857,0.07185352005406997
