estimator,measure,T,jidt_mean,numpy_mean,signed_err_mean,abs_err_mean,abs_err_std,rel_err_mean
gaussian,MI,200,0.026061059589160208,0.02606105958916017,-4.0072112295064246e-17,1.1952244749480202e-16,7.803663834589606e-17,5.545906804829112e-15
gaussian,MI,800,0.03625514536238456,0.03625514536238448,-8.014422459012849e-17,1.0026701691145945e-16,9.572223072806704e-17,3.3356365856352962e-15
gaussian,MI,1600,0.028349521107676127,0.028349521107676152,1.9081958235744878e-17,5.932754287840681e-17,8.385015207635972e-17,1.8643953431288276e-15
gaussian,TE,200,0.09621707848363623,0.09621707848363616,-7.147060721024446e-17,2.9073965457371286e-16,1.8528131659226294e-16,2.901159159054006e-15
gaussian,TE,800,0.0906915519417053,0.0906915519417052,-1.0963452368173421e-16,3.289035710452026e-16,2.378690434754732e-16,3.726647698063207e-15
gaussian,TE,1600,0.0879955340517876,0.08799553405178791,2.9282132274488506e-16,4.704570066849101e-16,2.40855039073514e-16,5.361747350838585e-15
gaussian,entropy,200,1.5581148369014732,1.5581148419014732,5.000000014021566e-09,5.000000014021566e-09,2.29326681831825e-16,3.219780701771376e-09
gaussian,entropy,800,1.5662849452953005,1.5662849502953005,5.000000058430487e-09,5.000000058430487e-09,4.704458624637751e-16,3.192682775034872e-09
gaussian,entropy,1600,1.5666755566648747,1.566675561664875,5.000000236066171e-09,5.000000236066171e-09,5.90265674448009e-16,3.1917113671297627e-09
kernel,MI,200,0.10727543094915712,0.10727543094915673,-3.8267999880048364e-16,3.8267999880048364e-16,1.2492204008930013e-16,4.482788992973409e-15
kernel,MI,800,0.07401666923772804,0.07401666923772865,6.106226635438361e-16,6.106226635438361e-16,1.513534496713106e-16,8.397441317735519e-15
kernel,MI,1600,0.05342572773031691,0.05342572773031758,6.786238238021269e-16,6.786238238021269e-16,1.0275395826712911e-16,1.3073068127893866e-14
kernel,TE,200,0.3344088088784604,0.33394296435814586,-0.00046584452031457336,0.0014223303822445189,0.0016604203248152417,0.004310872304531459
kernel,TE,800,0.18572343842151334,0.18549672545221135,-0.00022671296930200092,0.00028615269010721646,0.00026232366237893346,0.0015231142492851276
kernel,TE,1600,0.16004456601704903,0.16001770484766922,-2.6861169379799323e-05,4.9770246712010914e-05,6.588985030963665e-05,0.0003229553299438692
kernel,entropy,200,2.2307439117078722,2.2307439117078722,6.661338147750939e-17,7.771561172376096e-16,7.638248345135858e-16,3.5141015391234994e-16
kernel,entropy,800,2.2561653410787406,2.2561653410787423,1.4210854715202005e-15,3.3750779948604757e-15,2.8719294942850066e-15,1.4992058540875006e-15
kernel,entropy,1600,2.2606287022158478,2.26062870221585,2.3980817331903383e-15,3.1086244689504383e-15,1.6350418822104584e-15,1.3743963923132619e-15
kozachenko,entropy,200,1.5787582512042033,1.5787580220509176,-2.2915328563577474e-07,2.2894082442714845e-06,1.9022920813295472e-06,1.4833929697584442e-06
kozachenko,entropy,800,1.5624999802904063,1.5625329634234457,3.298313303954359e-05,5.7505416998804294e-05,8.458973490495559e-05,3.7150159782629376e-05
kozachenko,entropy,1600,1.5440071125966894,1.5440172570112747,1.0144414585178118e-05,4.172249697662611e-05,5.2944536286973224e-05,2.7270466055979367e-05
kraskov,MI,200,0.01218537791020145,0.01613696791221669,0.003951590002015239,0.007182996835057243,0.009234258898303902,0.4301689908981203
kraskov,MI,800,0.03995519022222217,0.04463631899965308,0.004681128777430909,0.0058424340545505105,0.0031461025055803025,0.16637294493232632
kraskov,MI,1600,0.027858556588296623,0.02699738070422638,-0.0008611758840702411,0.0018023905038235804,0.0015024621478813363,0.32879445012089825
kraskov,TE,200,0.1087562777192114,0.11312927150435026,0.004372993785138867,0.00943430708394373,0.008597151144662661,0.12403205757204702
kraskov,TE,800,0.0910151726156843,0.09182587465012,0.0008107020344357014,0.006252328640116345,0.004398472759349735,0.07988398423022584
kraskov,TE,1600,0.09248822357060058,0.09332136727361495,0.0008331437030143759,0.002495317995932396,0.0023562823319471715,0.026647696095809626
symbolic,TE,200,0.0365551523855579,0.036555152385557885,-1.97758476261356e-17,1.7937040741600186e-16,1.5488273358757025e-16,4.384793241997778e-15
symbolic,TE,800,0.0257256747774523,0.02572567477745229,-1.0581813203458523e-17,2.4927976349786716e-16,1.7192355358480332e-16,1.1455657481558319e-14
symbolic,TE,1600,0.02541199346977458,0.02541199346977462,4.0245584642661923e-17,2.400857290751901e-16,1.426819872067014e-16,9.315100433973748e-15
