identifier,p_M,q_T,log_resid_std,amortized_at_largest,pred_M64_T3200_s,lo_M64_T3200_s,hi_M64_T3200_s
hhg,2.089972336358151,2.9243898314194587,0.048104060761493636,67401.352476,524508.5939189759,499874.8424133608,550356.2927204996
gpfit_RBF,2.0694943111872095,2.3658984806714227,0.05100191625895968,39346.129334,197196.29085830456,187391.0700205945,207514.56899199836
gpfit_DotProduct,2.0512453458003814,2.3980530627180507,0.05846570669369852,25267.746139,127927.27458886041,120662.35958615218,135629.60014924043
mgcx_maxlag-10,2.033189431954407,2.0049301575569953,0.1178101505871712,24608.104863,96230.79545936888,85536.16551412037,108262.580384366
dcorrx_maxlag-10,2.0427727579462793,2.4246308697496324,0.10111058735852087,7606.89045,39570.7373023279,35765.34116991115,43781.02373498859
mgcx_maxlag-1,2.035270006477159,1.9794220884382472,0.11709922623215285,7460.018333,28955.776439258476,25756.074171919823,32552.980846530165
ccm_E-None_max,1.9286163513921084,0.5357625130148309,0.18554006629440517,7266.258055333333,10614.705680488807,8817.164223584625,12778.709098104388
ccm_E-None_diff,1.9286163513921084,0.5357625130148309,0.18554006629440517,7266.258055333333,10614.705680488807,8817.164223584625,12778.709098104388
ccm_E-None_mean,1.9286163513921084,0.5357625130148309,0.18554006629440517,7266.258055333333,10614.705680488807,8817.164223584625,12778.709098104388
ccm_E-10_max,1.9237008348113185,0.5223123229498481,0.19401342493287738,7325.626230999999,10359.694867431721,8532.730011274156,12577.835886578698
ccm_E-10_diff,1.9237008348113185,0.5223123229498481,0.19401342493287738,7325.626230999999,10359.694867431721,8532.730011274156,12577.835886578698
ccm_E-10_mean,1.9237008348113185,0.5223123229498481,0.19401342493287738,7325.626230999999,10359.694867431721,8532.730011274156,12577.835886578698
bary-sq_softdtw_mean,1.9821445742424209,1.7764406584022405,0.18065912899432682,2742.74929275,8220.431922013746,6861.757635106666,9848.132880521383
bary_softdtw_mean,1.9821445742424209,1.7764406584022405,0.18065912899432682,2742.74929275,8220.431922013746,6861.757635106666,9848.132880521383
bary_softdtw_max,1.9821445742424209,1.7764406584022405,0.18065912899432682,2742.74929275,8220.431922013746,6861.757635106666,9848.132880521383
bary-sq_softdtw_max,1.9821445742424209,1.7764406584022405,0.18065912899432682,2742.74929275,8220.431922013746,6861.757635106666,9848.132880521383
mgc,2.0393383503319074,1.933190092886124,0.1170318451317858,1460.734278,5838.680536244295,5193.838351553956,6563.583249393668
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,2.094457621670547,1.6430830753325947,0.050941378626326195,1728.907096,5516.411984063487,5242.435956114593,5804.706329778971
dcorrx_maxlag-1,2.025494009520204,2.288156046551573,0.1075161019410464,1158.8609,5432.470983752578,4878.696092294084,6049.104193214163
te_kraskov_NN-4_k-max-10_tau-max-4,2.0983536784469026,1.7076476176683109,0.05089424641068705,1623.882694,5431.766007893081,5162.237276879027,5715.367268499569
ccm_E-1_diff,1.9926139051936334,0.10940077021691867,0.08696469405555503,3181.7368600000004,3553.4597846271486,3257.4902015590847,3876.320620985723
ccm_E-1_mean,1.9926139051936334,0.10940077021691867,0.08696469405555503,3181.7368600000004,3553.4597846271486,3257.4902015590847,3876.320620985723
ccm_E-1_max,1.9926139051936334,0.10940077021691867,0.08696469405555503,3181.7368600000004,3553.4597846271486,3257.4902015590847,3876.320620985723
cce_kernel_W-0.5,2.0950637270369934,1.5080293002801084,0.044662462555476845,775.154042,2280.3533774652765,2180.7480464551572,2384.508166622
hsic,2.0333645711935002,2.078868985647538,0.09706967343294719,524.311783,2239.796392193045,2032.5990451635255,2468.114845580566
hsic_biased,2.0359218549369675,2.0781881788339454,0.09544193892273278,507.338614,2212.908138478047,2011.4696244184702,2434.519701364181
softdtw_constraint-sakoe-chiba,2.0692567636502237,1.8598678309962384,0.048427740057491925,477.888664,1824.6364188805262,1738.3788866312914,1915.174008789772
softdtw_constraint-itakura,2.06547407785759,1.8549498415954024,0.047268176778443145,477.441504,1804.235752620952,1720.9370166232256,1891.5664080624438
anm,2.0035186258753224,1.8369742978926717,0.3104965216031806,561.959162,1605.4313628754467,1176.9142380851824,2189.9725379289416
dcorr_biased,2.033110098031736,2.1954856948598875,0.09964886168606811,329.362058,1454.7621863364482,1316.785553230903,1607.1964137225743
softdtw,1.935702890443243,1.697255109115219,0.3402844113639285,477.670956,1274.0695801384286,906.5870359514278,1790.5101558512476
dcorr,1.8383955239792882,1.9282381951449383,0.5522126201783978,347.146549,856.8641254865186,493.27495624839656,1488.4520696729833
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,2.085142075442464,1.3014761805005681,0.039623834404085276,301.639,770.3444765312943,740.4173046990778,801.4812846161899
xme_kernel_W-0.5_k10,2.098332933932502,1.5320247887500673,0.0464418985146788,244.866493,735.9565181579248,702.5588288796885,770.9418405328862
te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,2.0917377858745403,1.2401142503313585,0.04245285468233705,298.544122,735.6139262681813,705.0386117256427,767.5151963595757
di_kernel_W-0.5,2.091594963678418,1.4990111561161394,0.042779450066720216,243.482622,709.8586625600279,680.1316846613136,740.8849376903228
si_kernel_W-0.5_k-1,2.0901862245457314,1.4603302501549063,0.042893778433287365,204.613105,580.357031121614,555.9896653737018,605.7923457010813
cce_kozachenko,2.0849532314591785,1.4423434724790383,0.05625103212704867,191.619124,536.1459016434244,506.81968855615537,567.1690235001416
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,2.075358099459449,1.5026613969162057,0.051792786623442784,170.80914,504.5989204186515,479.12959310640485,531.4221332830984
bary_sgddtw_max,2.104771762720636,2.0141988477621284,0.07338882354335387,107.4308465,427.26248252710894,397.0291540975023,459.7980452850994
bary-sq_sgddtw_max,2.104771762720636,2.0141988477621284,0.07338882354335387,107.4308465,427.26248252710894,397.0291540975023,459.7980452850994
bary-sq_sgddtw_mean,2.104771762720636,2.0141988477621284,0.07338882354335387,107.4308465,427.26248252710894,397.0291540975023,459.7980452850994
bary_sgddtw_mean,2.104771762720636,2.0141988477621284,0.07338882354335387,107.4308465,427.26248252710894,397.0291540975023,459.7980452850994
lcss_constraint-itakura,2.057047129862752,1.72232817030385,0.12374824223131997,102.222853,367.55403914951614,324.77158209708307,415.97226833331797
lcss_constraint-sakoe-chiba,2.0687466767400995,1.703865937941858,0.09635074935990735,93.776617,332.82801652413485,302.2562417736389,366.4919802263316
xme_kozachenko_k10,2.089913190142716,1.7025747222791852,0.0528225291389273,94.597828,314.43929435671333,298.2608698236163,331.49527758709405
bary-sq_dtw_mean,1.825252451567083,1.8215025761659978,0.640171630675076,121.2435715,265.7299135872802,140.09332390094326,504.0382011710406
bary_dtw_mean,1.825252451567083,1.8215025761659978,0.640171630675076,121.2435715,265.7299135872802,140.09332390094326,504.0382011710406
bary-sq_dtw_max,1.825252451567083,1.8215025761659978,0.640171630675076,121.2435715,265.7299135872802,140.09332390094326,504.0382011710406
bary_dtw_max,1.825252451567083,1.8215025761659978,0.640171630675076,121.2435715,265.7299135872802,140.09332390094326,504.0382011710406
tlmi_kraskov_NN-4,2.074876653906388,1.4807851809415113,0.05742820830882892,79.033156,234.77275897965316,221.67001451309466,248.64999661766305
tlmi_kraskov_NN-4_DCE,2.077482383765294,1.4803959347352276,0.05339681829778978,79.179715,234.6183201179267,222.41904790013368,247.48669978874068
te_kernel_W-0.25_k-1,2.0849411582571484,1.355282180182738,0.04213543389472146,86.879938,228.4839445997558,219.05668011425422,238.31691830915892
