,M4T200,M4T400,M4T800,M4T1600,M4T3200,M8T200,M8T400,M8T800,M8T1600,M8T3200,M16T200,M16T400,M16T800,M16T1600,M32T200,M32T400,M32T800,M32T1600,M64T200,M64T400
M4T200,1.0,0.9699248120300752,0.9264705882352942,0.9124087591240876,0.8916967509025271,0.9625468164794008,0.9625468164794008,0.9264705882352942,0.9194139194139194,0.8916967509025271,0.9625468164794008,0.9625468164794008,0.9264705882352942,0.9124087591240876,0.9699248120300752,0.9773584905660377,0.9264705882352942,0.9194139194139194,0.9625468164794008,0.9625468164794008
M4T400,0.9699248120300752,1.0,0.9479553903345725,0.933579335793358,0.9124087591240876,0.9625468164794008,0.9848484848484849,0.9479553903345725,0.9407407407407408,0.9124087591240876,0.9625468164794008,0.9848484848484849,0.9479553903345725,0.933579335793358,0.9625468164794008,0.9923954372623575,0.9479553903345725,0.9407407407407408,0.9625468164794008,0.9848484848484849
M4T800,0.9264705882352942,0.9479553903345725,1.0,0.9848484848484849,0.9625468164794008,0.9124087591240876,0.933579335793358,1.0,0.9923954372623575,0.9625468164794008,0.9124087591240876,0.933579335793358,1.0,0.9848484848484849,0.9124087591240876,0.9407407407407408,1.0,0.9923954372623575,0.9124087591240876,0.933579335793358
M4T1600,0.9124087591240876,0.933579335793358,0.9848484848484849,1.0,0.9699248120300752,0.8985507246376812,0.9194139194139194,0.9848484848484849,0.9923954372623575,0.9699248120300752,0.8985507246376812,0.9194139194139194,0.9848484848484849,1.0,0.8985507246376812,0.9264705882352942,0.9848484848484849,0.9923954372623575,0.8985507246376812,0.9194139194139194
M4T3200,0.8916967509025271,0.9124087591240876,0.9625468164794008,0.9699248120300752,1.0,0.8781362007168458,0.8985507246376812,0.9625468164794008,0.9699248120300752,1.0,0.8781362007168458,0.8985507246376812,0.9625468164794008,0.9699248120300752,0.8781362007168458,0.9054545454545454,0.9625468164794008,0.9699248120300752,0.8781362007168458,0.8985507246376812
M8T200,0.9625468164794008,0.9625468164794008,0.9124087591240876,0.8985507246376812,0.8781362007168458,1.0,0.9773584905660377,0.9124087591240876,0.9054545454545454,0.8781362007168458,1.0,0.9773584905660377,0.9124087591240876,0.8985507246376812,0.9923954372623575,0.9625468164794008,0.9124087591240876,0.9054545454545454,1.0,0.9773584905660377
M8T400,0.9625468164794008,0.9848484848484849,0.933579335793358,0.9194139194139194,0.8985507246376812,0.9773584905660377,1.0,0.933579335793358,0.9264705882352942,0.8985507246376812,0.9773584905660377,1.0,0.933579335793358,0.9194139194139194,0.9773584905660377,0.9848484848484849,0.933579335793358,0.9264705882352942,0.9773584905660377,1.0
M8T800,0.9264705882352942,0.9479553903345725,1.0,0.9848484848484849,0.9625468164794008,0.9124087591240876,0.933579335793358,1.0,0.9923954372623575,0.9625468164794008,0.9124087591240876,0.933579335793358,1.0,0.9848484848484849,0.9124087591240876,0.9407407407407408,1.0,0.9923954372623575,0.9124087591240876,0.933579335793358
M8T1600,0.9194139194139194,0.9407407407407408,0.9923954372623575,0.9923954372623575,0.9699248120300752,0.9054545454545454,0.9264705882352942,0.9923954372623575,1.0,0.9699248120300752,0.9054545454545454,0.9264705882352942,0.9923954372623575,0.9923954372623575,0.9054545454545454,0.933579335793358,0.9923954372623575,1.0,0.9054545454545454,0.9264705882352942
M8T3200,0.8916967509025271,0.9124087591240876,0.9625468164794008,0.9699248120300752,1.0,0.8781362007168458,0.8985507246376812,0.9625468164794008,0.9699248120300752,1.0,0.8781362007168458,0.8985507246376812,0.9625468164794008,0.9699248120300752,0.8781362007168458,0.9054545454545454,0.9625468164794008,0.9699248120300752,0.8781362007168458,0.8985507246376812
M16T200,0.9625468164794008,0.9625468164794008,0.9124087591240876,0.8985507246376812,0.8781362007168458,1.0,0.9773584905660377,0.9124087591240876,0.9054545454545454,0.8781362007168458,1.0,0.9773584905660377,0.9124087591240876,0.8985507246376812,0.9923954372623575,0.9625468164794008,0.9124087591240876,0.9054545454545454,1.0,0.9773584905660377
M16T400,0.9625468164794008,0.9848484848484849,0.933579335793358,0.9194139194139194,0.8985507246376812,0.9773584905660377,1.0,0.933579335793358,0.9264705882352942,0.8985507246376812,0.9773584905660377,1.0,0.933579335793358,0.9194139194139194,0.9773584905660377,0.9848484848484849,0.933579335793358,0.9264705882352942,0.9773584905660377,1.0
M16T800,0.9264705882352942,0.9479553903345725,1.0,0.9848484848484849,0.9625468164794008,0.9124087591240876,0.933579335793358,1.0,0.9923954372623575,0.9625468164794008,0.9124087591240876,0.933579335793358,1.0,0.9848484848484849,0.9124087591240876,0.9407407407407408,1.0,0.9923954372623575,0.9124087591240876,0.933579335793358
M16T1600,0.9124087591240876,0.933579335793358,0.9848484848484849,1.0,0.9699248120300752,0.8985507246376812,0.9194139194139194,0.9848484848484849,0.9923954372623575,0.9699248120300752,0.8985507246376812,0.9194139194139194,0.9848484848484849,1.0,0.8985507246376812,0.9264705882352942,0.9848484848484849,0.9923954372623575,0.8985507246376812,0.9194139194139194
M32T200,0.9699248120300752,0.9625468164794008,0.9124087591240876,0.8985507246376812,0.8781362007168458,0.9923954372623575,0.9773584905660377,0.9124087591240876,0.9054545454545454,0.8781362007168458,0.9923954372623575,0.9773584905660377,0.9124087591240876,0.8985507246376812,1.0,0.9699248120300752,0.9124087591240876,0.9054545454545454,0.9923954372623575,0.9773584905660377
M32T400,0.9773584905660377,0.9923954372623575,0.9407407407407408,0.9264705882352942,0.9054545454545454,0.9625468164794008,0.9848484848484849,0.9407407407407408,0.933579335793358,0.9054545454545454,0.9625468164794008,0.9848484848484849,0.9407407407407408,0.9264705882352942,0.9699248120300752,1.0,0.9407407407407408,0.933579335793358,0.9625468164794008,0.9848484848484849
M32T800,0.9264705882352942,0.9479553903345725,1.0,0.9848484848484849,0.9625468164794008,0.9124087591240876,0.933579335793358,1.0,0.9923954372623575,0.9625468164794008,0.9124087591240876,0.933579335793358,1.0,0.9848484848484849,0.9124087591240876,0.9407407407407408,1.0,0.9923954372623575,0.9124087591240876,0.933579335793358
M32T1600,0.9194139194139194,0.9407407407407408,0.9923954372623575,0.9923954372623575,0.9699248120300752,0.9054545454545454,0.9264705882352942,0.9923954372623575,1.0,0.9699248120300752,0.9054545454545454,0.9264705882352942,0.9923954372623575,0.9923954372623575,0.9054545454545454,0.933579335793358,0.9923954372623575,1.0,0.9054545454545454,0.9264705882352942
M64T200,0.9625468164794008,0.9625468164794008,0.9124087591240876,0.8985507246376812,0.8781362007168458,1.0,0.9773584905660377,0.9124087591240876,0.9054545454545454,0.8781362007168458,1.0,0.9773584905660377,0.9124087591240876,0.8985507246376812,0.9923954372623575,0.9625468164794008,0.9124087591240876,0.9054545454545454,1.0,0.9773584905660377
M64T400,0.9625468164794008,0.9848484848484849,0.933579335793358,0.9194139194139194,0.8985507246376812,0.9773584905660377,1.0,0.933579335793358,0.9264705882352942,0.8985507246376812,0.9773584905660377,1.0,0.933579335793358,0.9194139194139194,0.9773584905660377,0.9848484848484849,0.933579335793358,0.9264705882352942,0.9773584905660377,1.0
