M,T,identifier,raw_s,amortized_s,cache_namespace,cache_subkey
16,1600,cov_EmpiricalCovariance,0.001048,0.00030725,covariance,"('EmpiricalCovariance',)"
16,1600,cov_EllipticEnvelope,0.360105,0.09006775,covariance,"('EllipticEnvelope',)"
16,1600,cov_GraphicalLasso,0.001833,0.0005005,covariance,"('GraphicalLasso',)"
16,1600,cov_GraphicalLassoCV,0.098647,0.02470275,covariance,"('GraphicalLassoCV',)"
16,1600,cov_LedoitWolf,0.000622,0.0001965,covariance,"('LedoitWolf',)"
16,1600,cov_MinCovDet,0.360687,0.09021225,covariance,"('MinCovDet',)"
16,1600,cov_OAS,0.000479,0.000161,covariance,"('OAS',)"
16,1600,cov_ShrunkCovariance,0.000493,0.0001635,covariance,"('ShrunkCovariance',)"
16,1600,cov-sq_EmpiricalCovariance,7.1e-05,0.00030725,covariance,"('EmpiricalCovariance',)"
16,1600,cov-sq_EllipticEnvelope,5.9e-05,0.09006775,covariance,"('EllipticEnvelope',)"
16,1600,cov-sq_GraphicalLasso,6.2e-05,0.0005005,covariance,"('GraphicalLasso',)"
16,1600,cov-sq_GraphicalLassoCV,5.7e-05,0.02470275,covariance,"('GraphicalLassoCV',)"
16,1600,cov-sq_LedoitWolf,5.4e-05,0.0001965,covariance,"('LedoitWolf',)"
16,1600,cov-sq_MinCovDet,5.2e-05,0.09021225,covariance,"('MinCovDet',)"
16,1600,cov-sq_OAS,5.7e-05,0.000161,covariance,"('OAS',)"
16,1600,cov-sq_ShrunkCovariance,5.4e-05,0.0001635,covariance,"('ShrunkCovariance',)"
16,1600,prec_EmpiricalCovariance,5.8e-05,0.00030725,covariance,"('EmpiricalCovariance',)"
16,1600,prec_EllipticEnvelope,5.4e-05,0.09006775,covariance,"('EllipticEnvelope',)"
16,1600,prec_GraphicalLasso,5.3e-05,0.0005005,covariance,"('GraphicalLasso',)"
16,1600,prec_GraphicalLassoCV,5.3e-05,0.02470275,covariance,"('GraphicalLassoCV',)"
16,1600,prec_LedoitWolf,5.2e-05,0.0001965,covariance,"('LedoitWolf',)"
16,1600,prec_MinCovDet,5.4e-05,0.09021225,covariance,"('MinCovDet',)"
16,1600,prec_OAS,5.3e-05,0.000161,covariance,"('OAS',)"
16,1600,prec_ShrunkCovariance,5.4e-05,0.0001635,covariance,"('ShrunkCovariance',)"
16,1600,prec-sq_EmpiricalCovariance,5.2e-05,0.00030725,covariance,"('EmpiricalCovariance',)"
16,1600,prec-sq_EllipticEnvelope,5.3e-05,0.09006775,covariance,"('EllipticEnvelope',)"
16,1600,prec-sq_GraphicalLasso,5.4e-05,0.0005005,covariance,"('GraphicalLasso',)"
16,1600,prec-sq_GraphicalLassoCV,5.4e-05,0.02470275,covariance,"('GraphicalLassoCV',)"
16,1600,prec-sq_LedoitWolf,5.8e-05,0.0001965,covariance,"('LedoitWolf',)"
16,1600,prec-sq_MinCovDet,5.6e-05,0.09021225,covariance,"('MinCovDet',)"
16,1600,prec-sq_OAS,5.5e-05,0.000161,covariance,"('OAS',)"
16,1600,prec-sq_ShrunkCovariance,5.3e-05,0.0001635,covariance,"('ShrunkCovariance',)"
16,1600,spearmanr-sq,0.002898,0.002898,,
16,1600,spearmanr,0.002888,0.002888,,
16,1600,kendalltau-sq,0.043626,0.043626,,
16,1600,kendalltau,0.043117,0.043117,,
16,1600,corr_pearson_tau-1,0.000523,0.000523,,
16,1600,corr_pearson_tau-2,0.000314,0.000314,,
16,1600,corr_pearson_tau-3,0.000288,0.000288,,
16,1600,corr_pearson_tau-4,0.000281,0.000281,,
16,1600,corr_pearson_tau-5,0.000276,0.000276,,
16,1600,corr_pearson_tau-1-sq,0.000263,0.000263,,
16,1600,corr_pearson_tau-2-sq,0.000265,0.000265,,
16,1600,corr_pearson_tau-3-sq,0.000274,0.000274,,
16,1600,corr_pearson_tau-4-sq,0.000267,0.000267,,
16,1600,corr_pearson_tau-5-sq,0.000258,0.000258,,
16,1600,corr_pearson_tau-10,0.000251,0.000251,,
16,1600,corr_pearson_tau-10-sq,0.000261,0.000261,,
16,1600,corr_pearson_tau-20,0.00025,0.00025,,
16,1600,corr_pearson_tau-20-sq,0.000251,0.000251,,
16,1600,corr_spearman_tau-1,0.005375,0.005375,,
16,1600,corr_spearman_tau-2,0.005555,0.005555,,
16,1600,corr_spearman_tau-3,0.00548,0.00548,,
16,1600,corr_spearman_tau-4,0.005503,0.005503,,
16,1600,corr_spearman_tau-5,0.005536,0.005536,,
16,1600,corr_spearman_tau-1-sq,0.005492,0.005492,,
16,1600,corr_spearman_tau-2-sq,0.005406,0.005406,,
16,1600,corr_spearman_tau-3-sq,0.005503,0.005503,,
16,1600,corr_spearman_tau-4-sq,0.005527,0.005527,,
16,1600,corr_spearman_tau-5-sq,0.005429,0.005429,,
16,1600,corr_spearman_tau-10,0.005446,0.005446,,
16,1600,corr_spearman_tau-10-sq,0.005475,0.005475,,
16,1600,corr_spearman_tau-20,0.005293,0.005293,,
16,1600,corr_spearman_tau-20-sq,0.005517,0.005517,,
16,1600,corr_kendall_tau-1,0.177686,0.177686,,
16,1600,corr_kendall_tau-2,0.176781,0.176781,,
16,1600,corr_kendall_tau-3,0.176776,0.176776,,
16,1600,corr_kendall_tau-4,0.176889,0.176889,,
16,1600,corr_kendall_tau-5,0.176392,0.176392,,
16,1600,corr_kendall_tau-1-sq,0.175079,0.175079,,
16,1600,corr_kendall_tau-2-sq,0.175857,0.175857,,
16,1600,corr_kendall_tau-3-sq,0.177383,0.177383,,
16,1600,corr_kendall_tau-4-sq,0.175712,0.175712,,
