identifier,intercept,p_M,q_T,log_resid_std,n_points,amortized_at_largest
ccm_E-None_diff,-2.7218777702621564,1.9579469370182045,0.4513586425157578,0.17606081223180856,20,3000.3597541111108
ccm_E-None_mean,-2.7218777702621564,1.9579469370182045,0.4513586425157578,0.17606081223180856,20,3000.3597541111108
ccm_E-10_max,-2.7218777702621564,1.9579469370182045,0.4513586425157578,0.17606081223180856,20,3000.3597541111108
ccm_E-10_diff,-2.7218777702621564,1.9579469370182045,0.4513586425157578,0.17606081223180856,20,3000.3597541111108
ccm_E-1_max,-2.7218777702621564,1.9579469370182045,0.4513586425157578,0.17606081223180856,20,3000.3597541111108
ccm_E-1_mean,-2.7218777702621564,1.9579469370182045,0.4513586425157578,0.17606081223180856,20,3000.3597541111108
ccm_E-1_diff,-2.7218777702621564,1.9579469370182045,0.4513586425157578,0.17606081223180856,20,3000.3597541111108
ccm_E-None_max,-2.7218777702621564,1.9579469370182045,0.4513586425157578,0.17606081223180856,20,3000.3597541111108
ccm_E-10_mean,-2.7218777702621564,1.9579469370182045,0.4513586425157578,0.17606081223180856,20,3000.3597541111108
gpfit_RBF,-15.517015158561708,2.0725028745958665,2.366074657244426,0.05140736922550626,20,1309.51853
mgcx_maxlag-10,-13.17292250310645,2.0366578398624577,2.00538789780705,0.12264248069176108,20,1213.522342
hhg,-19.18092444616716,2.100278869620846,2.9298311184959602,0.0470010456583477,20,1122.257944
gpfit_DotProduct,-16.113557635452327,2.050842417131221,2.3962699420374616,0.05991476870168527,20,796.641163
mgcx_maxlag-1,-14.192222115038225,2.0413766166085945,1.9814276935352604,0.12155943142320834,20,400.622526
psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,1.6641688677668702,0.9051473595873856,-0.0041896515484755896,0.03356924176985669,20,231.0003
psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,1.6815311734072116,0.903373767569804,-0.006137950332477932,0.03317985742207911,20,230.99345
dcorrx_maxlag-10,-17.487542570292486,2.0462828505281587,2.4248847542527425,0.10469603656887788,20,216.984848
bary-sq_softdtw_mean,-13.44604799589406,1.9646201559435081,1.7635300445411228,0.18622287684920508,20,187.06250825
bary-sq_softdtw_max,-13.44604799589406,1.9646201559435081,1.7635300445411228,0.18622287684920508,20,187.06250825
bary_softdtw_max,-13.44604799589406,1.9646201559435081,1.7635300445411228,0.18622287684920508,20,187.06250825
bary_softdtw_mean,-13.44604799589406,1.9646201559435081,1.7635300445411228,0.18622287684920508,20,187.06250825
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,-13.396387687426406,2.101536834061365,1.6469935299753142,0.05203140024579802,20,169.681909
te_kraskov_NN-4_k-max-10_tau-max-4,-13.945587104802486,2.1045687210436386,1.7112828339915416,0.05236707763786765,20,145.782089
cce_kernel_W-0.5,-13.205590692987105,2.104201396646441,1.5133242623902545,0.04428949921644434,20,94.366632
mgc,-15.487503559005875,2.0524370508530216,1.9406691724403162,0.1207551010190886,20,89.825724
te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,-12.155942238455125,2.099415114984887,1.2451168018980996,0.04256624227524914,20,53.953244
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,-12.57747439298618,2.0931517519638922,1.3063540282950754,0.039385922929654954,20,49.264941
cds,-7.386372243471759,2.0929613630074932,0.42422920123665614,0.04293725914714347,20,45.044184
dcorrx_maxlag-1,-18.29674232799329,2.0288683078048018,2.287972417078946,0.11103829706806466,20,40.073702
softdtw,-14.382507086317045,1.9018660549057747,1.674832183163909,0.3520861218172338,20,36.694519
softdtw_constraint-sakoe-chiba,-16.182287617238774,2.0818806627224298,1.867342239137479,0.046274268403808834,20,36.507442
