spi,module,category
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,M01,spectral
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,M01,spectral
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,M01,spectral
gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,M01,spectral
gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,M01,spectral
gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,M01,spectral
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,M01,spectral
wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,M01,spectral
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,M01,spectral
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,M01,spectral
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,M01,spectral
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,M01,spectral
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,M01,spectral
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,M14,spectral
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,M14,spectral
anm,M02,causal
cds,M02,causal
igci,M03,causal
di_kernel_W-0.5,M03,infotheory
cce_kernel_W-0.5,M03,infotheory
cce_kozachenko,M03,infotheory
di_kozachenko,M03,infotheory
di_gaussian,M03,infotheory
cce_gaussian,M03,infotheory
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,M04,infotheory
te_kraskov_NN-4_k-max-10_tau-max-4,M04,infotheory
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,M04,infotheory
te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,M04,infotheory
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,M04,infotheory
te_symbolic_k-1_kt-1_l-1_lt-1,M05,infotheory
te_symbolic_k-10_kt-1_l-1_lt-1,M05,infotheory
gc_gaussian_k-max-10_tau-max-2,M05,infotheory
gc_gaussian_k-1_kt-1_l-1_lt-1,M05,infotheory
phi_Geo_t-1_norm-0,M05,infotheory
phi_Geo_t-1_norm-1,M05,infotheory
si_gaussian_k-1,M05,infotheory
phi_star_t-1_norm-0,M05,infotheory
phi_star_t-1_norm-1,M05,infotheory
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,M05,spectral
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,M05,spectral
